Gene,LogFC,-Log10P
IL10RA,-1.5669588,5.537188393144853
LY6E,1.0514708,5.487081328292149
TAP1,1.3447434,5.321773725234157
HMGCS1,2.8738759,5.286411000158905
SGK1,2.8546362,5.145363039607224
METRNL,2.6263618,5.112831074262704
S100A4,-1.2279316,5.083863842003676
CAMK4,-1.7349653,5.0715046552239045
TSC22D3,-1.3991338,5.042314072913167
IFI6,1.2804601,5.018674193522527
IL7R,-1.3937024,4.7638500669720925
NHP2,1.0914603,4.675452215053766
SNHG32,-1.3481667,4.514981299669988
PIK3R1,-1.1569272,4.45301981053097
EMB,-1.14876,4.237792132288138
SLC1A5,2.8730793,4.22473199135893
PMAIP1,1.8695476,4.204248865106941
KLF3,-1.7370826,4.204248865106941
IQGAP2,-1.2503749,4.1842075867770685
PAK1IP1,1.8848664,4.073125074915959
TSPYL2,1.3980825,4.071872136158617
LINC01943,1.439678,4.015909298134049
HIVEP3,3.095081,3.8558239369861207
LINC01089,-2.2555237,3.8108909214266333
CYTOR,1.1138756,3.7285564501216983
PTPN7,1.0745865,3.7275588084268856
LRRC32,2.9064164,3.6120495846065026
PIM1,-1.0723352,3.585116538404409
SAMHD1,-1.0470212,3.5748209584692052
SLC7A5,2.482874,3.495054939517299
FABP5,1.4355495,3.4483782744814535
CORO1B,1.4964834,3.3727057080972616
CSGALNACT1,-4.2526217,3.326381984970868
CCDC47,1.3639911,3.2452753237597225
POU2F2,1.0748726,3.1274813378061306
APOBEC3G,1.5671089,3.080209249520049
ACOT9,2.2405558,3.014413170370803
ALG5,1.3120967,3.014154404185536
IFI35,1.3511822,2.993961058381419
DGKE,1.4018675,2.940043965767487
PDE3B,-1.402577,2.9221256673269025
SORL1,-1.4897636,2.882999178168612
CD55,-2.9248796,2.83347062159665
PRNP,1.3643773,2.7607087159006025
CEBPG,1.7508663,2.7021498228343233
JUN,-1.1428456,2.6774704979195167
MIR155HG,1.6196607,2.6713319235907957
HLA-DPB1,-1.5445882,2.398942442948932
MT1E,3.0031362,2.2619036059657556
BTN3A2,-1.0044111,2.138290148732747
HYOU1,2.0944173,2.0911026948124625
GK,1.4569716,2.0542198034663888
SLC12A6,1.9131997,2.0366924470440995
GPR171,-2.3620799,2.0145677151131234
