Gene,LogFC,-Log10P
ATM,-1.9515566,64.82692551271599
YWHAQ,1.5495917,60.742646505894434
CREM,1.6689317,59.67701499773426
EPB41,-1.8193438,58.96489694920554
SOCS2,6.161091,58.6009558617
CD226,2.5041301,58.22074510088013
SORL1,-1.8877537,57.820521739610356
PIK3R1,-1.3745894,57.419538278872466
BATF,2.593722,55.286166496540744
PTPN6,2.5517852,54.803883212047275
AOAH,-1.6820132,54.45907256802768
IER3,1.6738949,53.667389291726295
TRIM22,1.4979168,51.70648265506532
IFNG,4.677172,50.56384982030248
MYO1F,-1.6628736,50.361255728674315
OAS3,3.3473148,49.95761826686972
PRMT2,-1.1414952,49.433764335113096
FOXP1,-1.2703891,48.58741237236958
IFIT1,2.9299402,47.94853655545371
PPM1K,1.5867913,46.78533068191309
NFKB1,1.4933815,45.702906994964806
BPGM,2.2900586,44.83104303317711
PIK3IP1,-2.3068664,42.87873400466254
SLC27A2,5.8683734,40.333604743560166
GZMH,1.2255973,39.93916573597171
TNFRSF4,2.0918784,38.836267426277885
SEPTIN6,-1.2923782,38.04761737351442
KLRF1,-1.4870936,37.954495876154816
IFIH1,2.3546367,36.764072728138125
HIPK2,1.4483463,36.53430624951354
PMAIP1,2.0957212,36.195089155075586
ZBTB20,-2.0274618,35.83944859063373
ADGRE5,1.2849438,35.56457228052031
GCHFR,-2.4982374,34.975646105577646
SPON2,-4.2793164,34.94572008179569
AUTS2,-2.6787076,34.497428333970404
PYHIN1,-1.0816791,31.924132059852393
CBLB,1.4316658,31.826275855043676
FRMD4B,4.9910517,31.106589123790275
IFITM1,1.2764293,31.05865131087171
DUSP4,1.8007896,30.732193607555367
ARID5B,1.8582963,30.697101283341773
TGFB1,-1.1222956,29.939016009758337
H1FX,-1.2690278,29.483101215675774
PIM1,1.5026479,29.438786620351674
SUN2,-1.5021667,29.102995238074037
MAP3K8,1.588509,29.095155648913618
TNFAIP8,1.3675786,28.899679564568007
CCL4L2,2.1505637,28.641376081611433
SEPTIN9,-1.7986784,28.019005068325768
JUN,-1.3861257,27.96988319897092
PTGER2,2.5585678,27.947005869630182
RNF166,-2.1613057,27.453296265124372
SLA2,-1.7168387,27.26714515283634
GPR171,2.4993246,26.801563111353428
SH2D1B,-1.1933569,25.144859138988913
LINC01943,4.0435276,25.09297243866664
SMAD7,-1.527508,24.640333159285667
FYB1,-1.1812096,23.984323360884773
XCL2,2.1581361,23.969497794757956
SYNE1,-1.8640575,23.945541230802675
SATB1,1.279163,22.918895995976705
SIPA1L1,1.6199346,22.884715055295697
MIR155HG,2.3004212,22.868019497695048
BCL11B,-2.0325203,22.85210517393759
RBM38,-2.2430956,22.234301868161992
SETBP1,3.2507777,21.94478423391
GADD45B,1.0416012,21.859953617319412
LYAR,-1.5636206,21.832922437442775
CYP51A1,2.2243714,21.18151809454966
CLEC2D,1.112652,21.18151809454966
ADGRG1,-2.3108368,21.002011414062384
PHLDA1,3.206695,20.306683742838004
YPEL1,-2.1121879,19.892481433720363
PLP2,1.0230188,19.438069000166383
MIAT,1.8646148,19.30413674550926
CYTOR,1.3947668,19.10214938408774
PITPNC1,-1.4046248,18.033526128716748
PTMS,3.0701284,16.90190976344934
RGS16,2.0274358,16.852660625232424
S100A4,-1.4709895,16.71448123344935
PTPN22,-1.2470518,16.517325487804484
IL16,-1.5532161,16.410074586539846
BATF3,3.1000495,16.225903541987403
PLEKHF1,-2.3031359,16.021888415332807
TESPA1,2.0919106,15.889181854580405
CCR1,2.6489582,14.676554395057893
TMIGD2,-1.6531864,14.507169502298513
FABP5,1.2180004,14.25990944199591
SNX9,2.218406,13.813959722447418
CEBPD,-1.0606462,13.79249454774489
IRF3,-1.1905074,13.622409146495826
ATP8A1,-1.7855796,13.490551347214469
GLIPR1,-1.6217761,13.450345784578545
CXXC5,-1.535291,13.125571949642257
PRKACB,-1.4551135,13.100662449097204
SPTY2D1,1.1665198,12.896438312710462
TRG-AS1,-1.7440047,12.633237821624625
FGD3,-1.461741,12.369382260584121
KLHL24,-1.8413918,11.969412319309335
NT5C3A,1.0461878,11.69516085083747
CEMIP2,-1.535876,11.4783317127281
PBXIP1,-1.7578338,11.461229095999965
AHNAK,-1.8485276,11.348639849819419
RGS2,-2.8292103,11.17471689980673
COTL1,1.1784129,10.95702878372088
LINC00996,-1.9309063,10.955453876760117
C12orf75,-1.2829231,10.589138990546063
DDX60L,1.2771807,10.572568073203865
CD52,-1.8710357,10.519288221327807
TBC1D10C,-1.2484272,10.412874549754324
FAM43A,-2.7080038,10.277526900655792
SPOCK2,-1.0843133,10.249598213376991
LTA,2.1714149,10.187684712425632
BCL9L,-2.2811313,10.100846914933188
PPP1R15A,1.0030066,10.054119028994668
CCR7,1.6323948,9.778202428414566
SELL,1.4023398,9.778202428414566
PDE4B,1.4768106,9.401859347030863
DIP2A,-1.4362377,9.394279067470503
AGPAT4,-1.7283217,9.299118989649383
CD8A,-1.4073203,9.16646040091589
MHENCR,-2.690102,9.095587146123723
PLEKHA2,-1.0606343,8.894407562776557
ABCB1,-2.0012248,8.719644778379635
IL1RN,1.6675538,8.66323542326908
RBL2,-1.4658331,8.524698611033411
DPEP2,-3.1828048,8.401039252362677
PDE3B,-1.6647221,8.038263369209071
RDX,1.040557,7.881203770013388
ACTA2,2.2186375,7.769851305543334
XCL1,2.2596853,7.66151065804927
ABTB1,-1.7913641,7.141451319166641
HSPA1A,1.3023902,6.589078306180468
MLLT3,-1.157224,6.560589968197467
TSC22D3,-1.3471519,6.52078174723266
PTGDS,2.5938265,6.464595183846052
PCID2,-1.3031999,6.374016233335583
PREX1,-1.0257033,6.107241753683015
IRF4,1.9277686,6.060980056085369
NXPH4,-1.8596,5.9546524227215345
CKAP2,-1.8160126,5.928800810736582
CDKN2D,-1.2125138,5.875568911384564
GLCCI1,-1.4556241,5.859037564553782
ABLIM1,-1.6372691,5.845895938296418
PTGDR,-1.9983699,5.7627000518644325
F2R,-1.4480541,5.608196398254951
CD83,1.2307731,5.558798855550416
CDKN1B,-1.1800187,5.505607050281465
HLA-DPB1,-1.1857277,5.5011551798635265
RHOBTB3,-1.7353113,5.243013147538573
CBR4,-1.9697464,5.220426054731869
LAG3,3.4667437,5.102915538217284
CMIP,-1.2770444,4.962322183093299
BCL2L11,1.1485617,4.749387011964515
FAM118A,-1.4834893,4.736043576323787
S1PR1,-2.4780383,4.664006442665126
ST6GALNAC6,-1.258374,4.531727499580488
PILRB,-1.1990017,4.5155268583799835
DUSP2,-1.4078828,4.4210209170865555
CARD19,-1.3283592,4.4185440417614155
HIST1H1C,-1.3934816,4.402121541799616
AC008105.3,-1.2130907,4.23356338934707
SIPA1,-1.1403002,4.172391065433915
NMT2,-1.7667063,4.077007082892729
CCL3L1,1.0204507,4.046866409845212
TCF7,-1.2834376,4.015441568054013
TLE1,-1.9443161,3.964374065378158
CMSS1,1.4756804,3.924434561261447
CCNH,-1.1481506,3.9144321139316296
RAB37,-3.5917826,3.9010919467118024
LINC00861,-2.0277264,3.896150113429571
WBP4,1.0182964,3.8698729267193315
KCNK6,1.6680075,3.823805572678395
SNHG14,-1.3415409,3.6790992820525776
ABHD15,-1.877759,3.5598668089829393
HIST1H1E,-1.0583259,3.545952067585267
RALGDS,-1.0663542,3.450009103538343
ZFP36,-1.6128709,3.397267881594874
CD300A,-1.5843357,3.3912643316934576
TBCD,-1.1237243,3.3465696576583888
ADAM28,-2.7956643,3.3465696576583888
AC245407.2,-2.1335866,3.3198924341621603
S1PR5,-1.4852256,3.247894220655461
ST8SIA6,1.2910999,3.226222399761411
ITM2C,-1.9012661,3.164466612493252
DBP,-2.6269774,3.093009531466101
BNIP3L,-1.0201936,3.082512016407197
COLGALT2,-2.479387,3.0730922233555327
RASA3,-1.1547115,3.0646298053112684
SLC25A45,-1.4343392,3.031695106659034
CTDSP2,-1.5214071,2.878787388576812
FCMR,-1.6115291,2.8699324159199975
DAAM1,-1.0293506,2.837246695710542
CCDC18-AS1,-1.0310663,2.6907343098029237
LRMP,-1.3487687,2.5318784726713477
KLF3,-1.1194187,2.511671110691925
DLGAP1-AS1,-1.2362282,2.490486224614865
PDE7A,-1.1274316,2.4291866324308247
TTC38,-1.6368313,2.4291866324308247
PSME4,-1.0662491,2.4227629835613587
LIM2,1.8693645,2.417253984789609
EPHA4,-3.1506133,2.3663963505886114
BAZ2B,-1.6115131,2.344724425670387
PWWP3A,-1.0001293,2.3108062061421806
MYBL1,-1.1258243,2.306759102977312
P2RY10,-1.2958682,2.306759102977312
TCP11L2,-1.9771175,2.300311917770605
PCMTD2,-1.9833734,2.2140389819605244
PRKY,-1.1972789,2.206426016668724
LMNA,1.0330054,2.2037264994634898
PLXND1,-2.6795206,2.1971668857237994
CTSF,-2.921884,2.1693179118816683
FGR,-3.0434198,2.104001006815899
SMAD3,-2.4252183,2.0899174193739616
TSPOAP1-AS1,-1.0198665,2.051414039753335
CPNE7,-3.0459971,2.0427323997010403
